answer-368#     4151#8,1 triệu người|4149#6,1 triệu người|4152#9,1 triệu người|4150#7,1 triệu người
answer-226#     3582#470 lạng vàng|3584#1800 lạng vàng, 60 triệu đồng Đông Dương và 920 tạ thóc|3583#370kg vàng và 60 triệu đồng Đông Dương
answer-187#     3428#Đa Phúc (Sơn Tây)
answer-354#     4095#Đẩy mạnh quá trình CNH, HĐH, đô thị hóa hội nhập kinh tế quốc tế|4096#Không có phương án nào|4093#Thành phố phải chủ động sáng tạo, phát huy tiềm năng, nguồn lực|4094#Giữ vững an ninh chính trị, trật tự an toàn xã hội
answer-438#     4432#Dịch vụ tư vấn pháp lý|4429#Dịch vụ xuất nhập khẩu|4430#Dịch vụ nghiên cứu - chuyển giao công nghệ|4431#Dịch vụ bưu chính viễn thông và công nghệ thông tin
answer-339#     4036#Liên tục luận chuyển, điều đồng cán bộ trong quy hoạch|4034#Tuyển chọn, bồi dưỡng tu nghiệp nước ngoài với cán bộ trẻ có năng lực|4033#Đổi mới nội dung và phương thức lãnh đạo của Đảng|4035#Giữ nguyên và phát triển nội dung công tác tư tưởng
answer-435#     4418#Phát huy, khai thác tốt các nguồn lực cho đầu tư kết cấu hạ tầng Thủ đô|4420#Tăng cường quản lý và nâng cao chất lượng các dịch vụ đô thị|4419#Đẩy mạnh xã hội hóa xây dựng hạ tầng, đặc biệt chú trọng công tác giải phóng mặt bằng|4417#Khẩn trương hoàn thành công tác quy hoạch phát triển Thủ đô gắn với quy hoạch không gian vùng Thủ đô
answer-290#     3839#Ðảm đang phục vụ chiến đấu khi cần thiết.|3838#Ðảm đang gia đình, khuyến khích chồng con đi chiến đấu|3837#Ðảm đang sản xuất, công tác, thay thế nam giới đi chiến đấu.|3840#Cả 3 phương án trên
answer-202#     3488#Thực dân Pháp gửi thư khủng bố yêu cầu các lãnh đạo Đảng ra phải ra mặt nếu không sẽ thực hiện nổ súng vào dân ta|3486#Thực dân Pháp liên tục nổ súng, vào các địa điểm mật của ta|3485#Thực dân Pháp tiến hành khủng bố ở những nơi có phong trào đấu tranh mạnh, liên tục vây bắt các đồng chí lãnh đạo|3487#Thực dân Pháp giết người, cướp của để cán bộ của Đảng phải ra mặt
answer-437#     4427#08/04/2006|4428#08/04/2005|4425#04/08/2005|4426#04/08/2006
answer-261#     3724#Phủ toàn quyền Đông Dương|3721#Nhà Hát lớn|3722#Bưu điện Hà Nội|3723#Sở Tài chính Pháp thuộc
answer-269#     3753#1964|3756#1961
answer-242#     3648#Cả 3 phương án|3647#Tăng cường lực lượng mật thám, cảnh binh.|3645#Đỡ đầu các đảng phái, lập ra các tổ chức xã hội để tranh thủ quần chúng, tổ chức hệ thống ngụy quyền, ngụy quân, tiến hành chiến tranh gián điệp với quy mô ngày càng lớn.|3646#Củng cố hệ thống chính quyền bù nhìn.
answer-342#     4048#Cả thiện hơn nữa đời sống vật chất và văn hóa, môi trường sống của nhân dân|4046#Tiếp tục giữ vững ổn định chính trị, nâng cao vai trò lãnh đạo của Đảng|4047#Phát triển kinh tế nhanh nhưng phải xanh và bền vững|4045#Tiếp tục hoàn chỉnh quản lý xây dựng theo quy hoạch, cải tạo
answer-177#     3388#Nhà số 117 phố Hàng Bông|3387#Nhà số 771 phố Hàng Bông|3386#Nhà số 177 phố Hàng Bông|3385#Nhà số 717 phố Hàng Bông
answer-199#     3476#Ngày 18-8-1945|3475#Ngày 17-8-1945|3474#Ngày 16-8-1945
answer-224#     3575#Mọi thành công đều bắt nguồn từ gian khổ, vì vậy chúng ta hãy cũng chung tay để xây dựng một Chính phủ vững mạnh về kinh tế|3573#Sức mạnh của chúng ta là sức mạnh tập thể, chúng ta cùng sống, cùng chiến đấu, cùng hưởng thụ thành quả. Vì vậy, tôi tin rằng đồng bào sẽ cùng chung tay quyên góp|3574#Tôi tin rằng, toàn quốc đồng bào, nhất là các nhà giàu có, trong sự quyên giúp này, sẽ xứng đáng với sự hy sinh phấn đấu của các chiến sĩ ái quốc trên các mặt trận.|3576#Trung với nước, hiếu với dân, nhiệm vụ nào cũng hoàn thành, khó khăn nào cũng vượt qua, kẻ thù nào cũng đánh thắng.
answer-210#     3519#Sở Cánh sát|3518#Trại Bảo an binh, Ty Liêm phóng Bắc kỳ|3520#Phủ Khâm sai, Tòa Thị chính, Kho bạc, Bưu điện và Sở Cảnh sát
answer-345#     4058#Sau 9 năm thực hiện Pháp lệnh Thủ đô Hà Nội đạt được những thành tựu quan trọng; tuy nhiên quá trình thực hiện cũng bộc lộ nhiều bất cập cả từ khía cạnh pháp lý cũng như khả năng giải quyết những vấn đề đặt ra trên thực tế.|4059#Việc mở rộng địa giới hành chính thành phố Hà Nội cũng đặt ra những vấn đề thực tế trước mắt cũng như lâu dài phải giải quyết.|4060#Cả 3 phương án|4057#Hà Nội không đơn thuần là đơn vị hành chính cấp tỉnh, mà là trung tâm đầu não chính trị - hành chính của quốc gia,
answer-429#     4395#Nâng cao chất lượng cuộc sống và thu nhập của nhân dân ngoại thành|4393#Phát triển đô thị gắn với xây dựng nông thôn|4394#Đẩy nhanh tốc độ tăng trưởng và chuyển dịch cơ cấu kinh tế nông thôn|4396#Đầu tư xây dựng kết cấu hạ tầng nông thôn theo hướng hiện đại
answer-447#     4467#Phát triển kinh tế xanh, bền vững giai đoạn 2006-2010|4465#Tiếp tục phát huy dân chủ cơ sở giai đoạn 2006-2010|4466#Phát triển khoa học - công nghệ và giáo dục - đào tạo giai đoạn 2006-2010|4468#Phát triển thị trường kinh tế nhiều thành phần giai đoạn 2006-2010
answer-213#     3532#1929|3530#1920|3529#1890|3531#1896
answer-231#     3601#Sáng 18-12-1946|3602#Đêm 18-12-1946|3604#Đêm 19-12-1946|3603#Sáng 19-12-1946
answer-184#     3414#Tri thức, học sinh|3416#Các phương án trên|3413#Tư sản, Tiểu tư sản thành thị|3415#Công nhân
answer-244#     3654#Hợp tác với Chính phủ thông qua đóng góp, ủng hộ tiền, vàng, quần áo|3656#Hợp tác với du kích, đóng thuế cho Chính phủ, mua công phiếu kháng chiến
answer-206#     3503#Học sinh là con em các gia đình yêu nước chống Pháp|3501#Một số giáo viên trong tổ chức Hội truyền bá quốc ngữ ở nội, ngoại thành|3502#Hướng đạo sinh|3504#Cả 3 phương án
answer-273#     3770#Lấy sản xuất công nghiệp (gồm cả tiểu thủ công nghiệp) làm trọng tâm|3772#Chăm lo cải thiện đời sống vật chất và tinh thần của nhân dân|3769#Phát triển kinh tế, đặc biệt là dịch vụ|3771#Ra sức phát triển giáo dục
